,,PLAYER,YRS,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,BA
0,1,Freddie Freeman,11,60,214,51,73,23,1,13,53,45,37,2,0,.341
1,2,Marcell Ozuna,8,60,228,38,77,14,0,18,56,38,60,0,0,.338
2,3,Trea Turner,6,59,233,46,78,15,4,12,41,22,36,12,4,.335
3,4,Tim Anderson,5,49,208,45,67,11,1,10,21,10,50,5,2,.322
4, ,Michael Conforto,6,54,202,40,65,12,0,9,31,24,57,3,3,.322
5,6,David Fletcher,3,49,207,31,66,13,0,3,18,20,25,2,1,.319
6,7,Jose Abreu,7,60,240,43,76,15,0,19,60,18,59,0,0,.317
7,8,Alex Verdugo,4,53,201,36,62,16,0,6,15,17,45,4,0,.308
8, ,Lourdes Gurriel Jr.,3,57,208,28,64,14,0,11,33,14,48,3,1,.308
9,10,Corey Seager,6,52,212,38,65,12,1,15,41,17,37,1,0,.307
10,11,Manny Machado,9,60,224,44,68,12,1,16,47,26,37,6,3,.304
11,12,Charlie Blackmon,10,59,221,31,67,12,1,6,42,19,44,2,1,.303
12,13,Xander Bogaerts,8,56,203,36,61,8,0,11,28,21,41,8,0,.300
13, ,David Peralta,7,54,203,19,61,10,1,5,34,13,45,1,0,.300
14,15,Eloy Jimenez,2,55,213,26,63,14,0,14,41,12,56,0,0,.296
15,16,Jose Ramirez,8,58,219,45,64,16,1,17,46,31,43,10,3,.292
16, ,Mookie Betts,7,55,219,47,64,9,1,16,39,24,38,10,2,.292
17,18,Trevor Story,5,59,235,41,68,13,4,11,28,24,63,15,3,.289
18,19,Kevin Pillar,8,54,208,34,60,12,3,6,26,13,41,5,2,.288
19,20,Didi Gregorius,9,60,215,34,61,10,2,10,40,15,28,3,2,.284
20,21,Cesar Hernandez,8,58,233,35,66,20,0,3,20,24,57,0,0,.283
21, ,Hanser Alberto,5,54,219,35,62,15,0,3,22,5,30,3,0,.283
22,23,Whit Merrifield,5,60,248,38,70,12,0,9,30,12,33,12,3,.282
23,24,Starling Marte,9,61,228,36,64,14,1,6,27,12,41,10,2,.281
24,25,Isiah Kiner-Falefa,3,58,211,28,59,4,3,3,10,14,32,8,5,.280
25,26,Maikel Franco,7,60,223,23,62,16,0,8,38,16,38,1,0,.278
26,27,Victor Reyes,3,57,202,30,56,7,2,4,14,9,45,8,2,.277
27, ,Luke Voit,4,56,213,41,59,5,0,22,52,17,54,0,0,.277
